model,n_train,function,output_dim_modeled_idx,rep,training_time,prediction_time,rmse,seed,ci_coverage,pi_coverage
Surmise,500,borehole,0,0,0.0980067253112793,0.0025701522827148438,147.13504053054038,42,96.0,96.0
PCGP,500,otlcircuit,0,0,21.786492109298706,0.03175091743469238,0.01243099058615853,42,100.0,100.0
Surmise,500,otlcircuit,0,0,0.11169004440307617,0.0032329559326171875,0.014323053375852598,42,100.0,100.0
PCGP,500,piston,0,0,20.31074023246765,0.05374598503112793,0.033348253583898244,42,92.66666666666666,98.0
Surmise,500,piston,0,0,0.2596750259399414,0.0032601356506347656,0.03387808646494482,42,92.0,98.66666666666667
PCGP,25,borehole,0,1,0.598336935043335,0.03885602951049805,147.28081321627195,1042,73.33333333333333,73.33333333333333
Surmise,25,borehole,0,1,0.01009511947631836,0.00017309188842773438,117.56413863903767,1042,90.66666666666666,90.66666666666666
PCGP,25,otlcircuit,0,1,0.7326867580413818,0.09262800216674805,0.04745353558145051,1042,100.0,100.0
Surmise,25,otlcircuit,0,1,0.024790048599243164,0.0001697540283203125,0.07415859835056146,1042,87.33333333333333,98.66666666666667
PCGP,25,piston,0,1,0.2150428295135498,0.011121988296508789,0.16791930358809773,1042,89.33333333333333,92.0
Surmise,25,piston,0,1,0.011180877685546875,0.00021696090698242188,0.10320627928208473,1042,64.0,88.66666666666667
PCGP,50,borehole,0,1,0.5889358520507812,0.013789892196655273,156.18481533304086,1042,96.66666666666667,96.66666666666667
Surmise,50,borehole,0,1,0.00635218620300293,0.0001900196075439453,117.96758074353785,1042,98.0,98.0
PCGP,50,otlcircuit,0,1,0.7649171352386475,0.08860206604003906,0.025039622778539026,1042,100.0,100.0
Surmise,50,otlcircuit,0,1,0.06218218803405762,0.00022411346435546875,0.0331261163436874,1042,100.0,100.0
PCGP,50,piston,0,1,6.518096923828125,0.038210153579711914,0.07742649806671466,1042,76.0,90.0
Surmise,50,piston,0,1,0.06744194030761719,0.00035309791564941406,0.07365346865623078,1042,86.66666666666667,96.0
PCGP,100,borehole,0,1,0.3671250343322754,0.0650169849395752,160.34461026126343,1042,97.33333333333334,97.33333333333334
Surmise,100,borehole,0,1,0.006357908248901367,0.0003211498260498047,116.7364564607192,1042,97.33333333333334,97.33333333333334
PCGP,100,otlcircuit,0,1,3.4855659008026123,0.021838903427124023,0.021545666637813255,1042,100.0,100.0
Surmise,100,otlcircuit,0,1,0.19537091255187988,0.00041103363037109375,0.02686594595206082,1042,100.0,100.0
PCGP,100,piston,0,1,9.328765153884888,0.038458824157714844,0.05365980176923362,1042,93.33333333333333,97.33333333333334
Surmise,100,piston,0,1,0.16627216339111328,0.0004918575286865234,0.05666494060672147,1042,89.33333333333333,98.0
PCGP,250,borehole,0,1,1.8287160396575928,0.057723283767700195,161.43871241443816,1042,98.0,98.0
Surmise,250,borehole,0,1,0.033048152923583984,0.0009148120880126953,129.73124654176624,1042,96.66666666666667,96.66666666666667
PCGP,250,otlcircuit,0,1,6.72724723815918,0.0340118408203125,0.016538474430519687,1042,100.0,100.0
Surmise,250,otlcircuit,0,1,0.06298375129699707,0.0012428760528564453,0.019267926913702126,1042,100.0,100.0
PCGP,250,piston,0,1,13.477123022079468,0.04523515701293945,0.04260093766548244,1042,93.33333333333333,96.66666666666667
Surmise,250,piston,0,1,0.3011960983276367,0.0011758804321289062,0.04666369439712732,1042,94.66666666666667,97.33333333333334
PCGP,500,borehole,0,1,3.1498498916625977,0.018165111541748047,160.3958963439085,1042,97.33333333333334,97.33333333333334
Surmise,500,borehole,0,1,0.17565107345581055,0.009149789810180664,119.14340497475192,1042,96.0,96.0
PCGP,500,otlcircuit,0,1,12.442952156066895,0.028497934341430664,0.011419274198837153,1042,100.0,100.0
Surmise,500,otlcircuit,0,1,0.10646700859069824,0.002933979034423828,0.013878214932704191,1042,100.0,100.0
PCGP,500,piston,0,1,24.53920841217041,0.011093854904174805,0.03349188613470277,1042,91.33333333333333,98.66666666666667
Surmise,500,piston,0,1,0.15006589889526367,0.0030951499938964844,0.03755872318371793,1042,92.0,97.33333333333334
PCGP,25,borehole,0,2,0.7659614086151123,0.024918556213378906,224.8306861951607,2042,78.0,78.0
Surmise,25,borehole,0,2,0.0037887096405029297,0.0001342296600341797,208.83067823221498,2042,81.33333333333333,81.33333333333333
PCGP,25,otlcircuit,0,2,0.6307930946350098,0.03367185592651367,0.087305819748681,2042,94.66666666666667,96.0
Surmise,25,otlcircuit,0,2,0.05384111404418945,0.00016689300537109375,0.06428238145970645,2042,99.33333333333333,99.33333333333333
PCGP,25,piston,0,2,2.627054214477539,0.04762911796569824,0.0893957698582286,2042,88.0,94.66666666666667
Surmise,25,piston,0,2,0.0145416259765625,0.00019812583923339844,0.08973830235203266,2042,86.0,94.0
PCGP,50,borehole,0,2,0.7525420188903809,0.04873394966125488,220.36373249331172,2042,90.66666666666666,90.66666666666666
Surmise,50,borehole,0,2,0.006907939910888672,0.00021409988403320312,187.78827284179982,2042,92.0,92.0
PCGP,50,otlcircuit,0,2,0.6912541389465332,0.12014007568359375,0.03748617556807387,2042,100.0,100.0
Surmise,50,otlcircuit,0,2,0.11776900291442871,0.0009388923645019531,0.04212934729996222,2042,99.33333333333333,100.0
PCGP,50,piston,0,2,3.8998711109161377,0.061637163162231445,0.07172961700039403,2042,73.33333333333333,92.0
Surmise,50,piston,0,2,0.06123208999633789,0.00027489662170410156,0.07422313124970387,2042,86.0,96.66666666666667
PCGP,100,borehole,0,2,0.41623616218566895,0.12979483604431152,222.75795382807885,2042,93.33333333333333,93.33333333333333
Surmise,100,borehole,0,2,0.007898092269897461,0.0002970695495605469,178.53898677675642,2042,94.0,94.0
PCGP,100,otlcircuit,0,2,3.6409640312194824,0.015657901763916016,0.019462686577923403,2042,100.0,100.0
Surmise,100,otlcircuit,0,2,0.04548978805541992,0.0004239082336425781,0.024043615202601995,2042,100.0,100.0
PCGP,100,piston,0,2,9.422384977340698,0.013630867004394531,0.052201040362878294,2042,88.66666666666667,96.66666666666667
Surmise,100,piston,0,2,0.08396697044372559,0.0005469322204589844,0.05962713748830862,2042,87.33333333333333,96.0
PCGP,250,borehole,0,2,1.9276340007781982,0.045825958251953125,221.5017481015088,2042,93.33333333333333,93.33333333333333
Surmise,250,borehole,0,2,0.01713395118713379,0.0010170936584472656,170.39849889292793,2042,94.0,94.0
PCGP,250,otlcircuit,0,2,6.49783992767334,0.10156798362731934,0.01236376156011726,2042,100.0,100.0
Surmise,250,otlcircuit,0,2,0.0727851390838623,0.014951944351196289,0.0181774022528401,2042,100.0,100.0
PCGP,250,piston,0,2,11.031079769134521,0.034052133560180664,0.04103075309433078,2042,89.33333333333333,96.66666666666667
Surmise,250,piston,0,2,0.21261978149414062,0.0013952255249023438,0.04181406138284976,2042,88.0,97.33333333333334
PCGP,500,borehole,0,2,3.752964735031128,0.1013791561126709,220.02394306813923,2042,93.33333333333333,93.33333333333333
Surmise,500,borehole,0,2,0.08396005630493164,0.006978034973144531,168.97174334154127,2042,93.33333333333333,93.33333333333333
PCGP,500,otlcircuit,0,2,11.51152515411377,0.016475915908813477,0.011715819502825952,2042,100.0,100.0
Surmise,500,otlcircuit,0,2,0.13113999366760254,0.0029010772705078125,0.013288331077233114,2042,100.0,100.0
PCGP,500,piston,0,2,13.697725057601929,0.01979684829711914,0.03186614381685005,2042,89.33333333333333,98.0
Surmise,500,piston,0,2,0.13472199440002441,0.003288745880126953,0.037492619925709604,2042,91.33333333333333,98.66666666666667
