model,n_train,function,output_dim_modeled_idx,rep,training_time,prediction_time,rmse,coverage
PCGP,100,piston,0,2,11.835657835006714,0.06494402885437012,0.05305460197482619,0.8666666666666667
Surmise,100,piston,0,2,0.3676760196685791,0.028599023818969727,0.05337153766876449,0.8933333333333333
PCGP,200,borehole,0,2,5.2708518505096436,0.011819124221801758,7.871525483640973,0.9
Surmise,200,borehole,0,2,0.0459749698638916,0.0007081031799316406,7.947940717148012,0.88
PCGP,200,otlcircuit,0,2,7.197909116744995,0.017976999282836914,0.011913995565303577,1.0
Surmise,200,otlcircuit,0,2,0.19181108474731445,0.0008838176727294922,0.014544843122168064,1.0
PCGP,200,piston,0,2,11.75410795211792,0.06255388259887695,0.03989312264314239,0.9066666666666666
Surmise,200,piston,0,2,1.2206001281738281,0.0011658668518066406,0.04070477270419724,0.9266666666666666
PCGP,300,borehole,0,2,5.336174011230469,0.09008526802062988,50.86371204059481,0.4066666666666667
Surmise,300,borehole,0,2,0.270205020904541,0.0013308525085449219,50.9731460642076,0.36
PCGP,300,otlcircuit,0,2,13.568021059036255,0.04088020324707031,0.013543722125648425,1.0
Surmise,300,otlcircuit,0,2,0.16996073722839355,0.0011990070343017578,0.01668082994094231,1.0
PCGP,300,piston,0,2,13.574465036392212,0.08684372901916504,0.0399634774616615,0.92
Surmise,300,piston,0,2,1.143310785293579,0.0016562938690185547,0.04269052232871952,0.92
PCGP,500,borehole,0,2,16.92384910583496,0.042379140853881836,26.286819698143855,0.5666666666666667
Surmise,500,borehole,0,2,0.3965001106262207,0.029674053192138672,26.293500783014185,0.58
PCGP,500,otlcircuit,0,2,27.80382513999939,0.1694321632385254,0.011614870435595693,1.0
Surmise,500,otlcircuit,0,2,0.7421507835388184,0.004026174545288086,0.01423063052772623,1.0
PCGP,500,piston,0,2,31.527705192565918,0.0637657642364502,0.03186614381685005,0.8933333333333333
Surmise,500,piston,0,2,0.9969561100006104,0.08674383163452148,0.035271780017598245,0.9133333333333333
PCGP,800,borehole,0,2,36.553136110305786,0.05566978454589844,7.347763608244213,0.7666666666666667
Surmise,800,borehole,0,2,1.865584135055542,0.005881786346435547,7.640273982418313,0.7466666666666667
PCGP,800,otlcircuit,0,2,56.843239068984985,0.18993616104125977,0.011295375182821768,1.0
Surmise,800,otlcircuit,0,2,2.0651938915252686,0.011013269424438477,0.01369491014569552,1.0
PCGP,800,piston,0,2,71.74001908302307,0.201416015625,0.022725604017112926,0.96
Surmise,800,piston,0,2,2.317513942718506,0.01697087287902832,0.026498356761591325,0.9466666666666667
PCGP,100,borehole,0,3,2.2964117527008057,0.14313006401062012,143.73465902541568,0.28
Surmise,100,borehole,0,3,0.05253291130065918,0.005463123321533203,143.9310326885266,0.31333333333333335
PCGP,100,otlcircuit,0,3,5.600212097167969,0.01733112335205078,0.01670645725282076,1.0
Surmise,100,otlcircuit,0,3,0.371539831161499,0.00042510032653808594,0.01723823151649192,1.0
PCGP,100,piston,0,3,12.584695100784302,0.01900625228881836,0.06830908500245442,0.8533333333333334
Surmise,100,piston,0,3,0.18872284889221191,0.0005040168762207031,0.06180418676952359,0.88
PCGP,200,borehole,0,3,5.7792441844940186,0.12693285942077637,138.5023426242017,0.26
Surmise,200,borehole,0,3,0.11962389945983887,0.0007128715515136719,137.55927579202285,0.28
PCGP,200,otlcircuit,0,3,7.079633951187134,0.06721901893615723,0.016791775470771497,1.0
Surmise,200,otlcircuit,0,3,0.10304784774780273,0.0008869171142578125,0.01746497531371819,1.0
PCGP,200,piston,0,3,12.09022307395935,0.1044161319732666,0.043137958893091265,0.94
Surmise,200,piston,0,3,0.9082920551300049,0.0012967586517333984,0.045893482476171706,0.92
PCGP,300,borehole,0,3,13.626300811767578,0.01425623893737793,179.2182050843784,0.14666666666666667
Surmise,300,borehole,0,3,0.09324121475219727,0.0012590885162353516,179.14645815989516,0.15333333333333332
PCGP,300,otlcircuit,0,3,11.186892032623291,0.0906071662902832,0.012257406722642077,1.0
Surmise,300,otlcircuit,0,3,0.2409648895263672,0.03336000442504883,0.01590817811732342,1.0
PCGP,300,piston,0,3,16.65548801422119,0.07942891120910645,0.034167606802562506,0.9533333333333334
Surmise,300,piston,0,3,1.2008190155029297,0.12297511100769043,0.04064413818855663,0.9133333333333333
PCGP,500,borehole,0,3,8.325517892837524,0.0293581485748291,120.18736597462134,0.28
Surmise,500,borehole,0,3,0.3751821517944336,0.009536981582641602,120.27295438962761,0.28
